"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\order\components\OrderItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 3, 17
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\order\components\OrderList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 4, 28
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\order\orderApi.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 2, 44
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\order\orderSlice.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 6, 92
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\user\components\AddressPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 103, 0, 3, 106
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\user\components\EditAddressForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 211, 0, 5, 216
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\user\components\NewAddressForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 200, 0, 7, 207
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\user\userApi.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 3, 33
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\user\userSlice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 6, 35
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\wishlist\WishEmpty.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\wishlist\WishItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 5, 65
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\wishlist\WishList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 4, 31
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\wishlist\wishListSlice.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\hooks\useAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\hooks\useCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 4, 20
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\hooks\useIntersection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 6, 23
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\hooks\useOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\hooks\useUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 5, 19
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\index.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 6, 45
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 3, 5, 26
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Addresses.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Checkout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 223, 1, 6, 230
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 99, 0, 7, 106
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 130, 0, 8, 138
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\OrderHistory.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 4, 53
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\OrderProcess.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 3, 63
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\OrderStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 93, 1, 7, 101
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Personal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\PreviousOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Products.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 124, 1, 14, 139
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Signup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 163, 0, 8, 171
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\User.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 5, 43
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\tailwind.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 3, 18
"Total", "-", 14, 18194, 0, 21, 26, 95, 25, 30, 18405
